id,contact_id,address_type,line1,line2,city,region,postcode,country,start_date,end_date
c060e7c7-6b72-5f76-855b-fd8d7325d5c6,0501440c-0114-5d53-bb84-3db3dea7335c,home,"Flat 6
Janet mill",,Bethanyfort,Shropshire,NW2R 6BR,United Kingdom,2026-01-01,
5adb3214-a3c9-5264-b317-550533a1f816,cdc701e9-8c9d-5013-a8ce-96656d840406,home,595 Jenkins cliffs,,New Jacqueline,Greater Manchester,N0F 0FS,United Kingdom,2026-01-01,
11ff459b-f51f-5e29-b58a-0055c4e6ebe7,06992024-2cc2-5a57-a9e6-e6adaded018e,home,896 Jones point,,West Georgia,Aberdeenshire,N4 5NJ,United Kingdom,2026-01-01,
a5ea1c09-ba71-538c-937c-798ee510410d,9a350f2f-c1fa-51a0-bc24-7ec6a370b01b,home,1 O'Brien islands,,Natashamouth,East Ayrshire,N66 8LF,United Kingdom,2026-01-01,
71d509b2-8296-506b-8726-c323fb618375,676d2791-cc38-5d3c-971b-c03280df17da,home,"Studio 7
Francis heights",,Dalemouth,Angus,B1 8LU,United Kingdom,2026-01-01,
9f6ff536-ee43-5420-8d31-0421432098b4,41bc09ce-2a8f-5148-8050-00047e6dc98e,home,1 Sara view,,Boyleberg,Radnorshire,SY4 7FU,United Kingdom,2026-01-01,
b51e87da-ade0-59ce-953b-658b78fd7215,82215045-ac74-5993-898d-42cbfb3c6344,home,770 Jason bypass,,West Clive,Carmarthenshire,EH3W 0NQ,United Kingdom,2026-01-01,
15de4b6c-56e6-53df-bc06-1e5a51dfc111,5c37cdb8-6b22-58b6-a889-485dc31d5c05,home,"Studio 6
Nigel common",,East Henryside,Monmouthshire,N1B 3JH,United Kingdom,2026-01-01,
8b231fce-3cc4-5755-9364-ef94db4fcd56,7f024ebd-5a64-5afe-b292-4d01fd190f50,home,"Flat 65y
Kate pike",,Jayneburgh,Northamptonshire,DH4Y 2QZ,United Kingdom,2026-01-01,
0ca9393f-7f45-5636-91b2-8d99df315560,9df7b8bf-351b-5e30-89a6-82005d1a179f,home,747 Robinson glens,,North Philipmouth,Armagh,TS86 5HD,United Kingdom,2026-01-01,
1791866a-6f1d-5bf0-9653-fa05d3392975,85c08c7b-ff28-59f3-afb5-94373e48830e,home,2 Paula ville,,Saundersmouth,Derbyshire,W4A 7LU,United Kingdom,2026-01-01,
b421d12f-19ea-5c05-845b-4f2ec80e3ee2,95d21cc9-763d-51eb-9964-f9a3daa87e3b,home,"Flat 81
Derek lodge",,Nigelburgh,Denbighshire,OX23 6SR,United Kingdom,2026-01-01,
1aed7d64-7147-5065-80f4-8356555fef1d,59cce8c2-3411-5823-bb4b-1b5c9ad186eb,home,237 Marilyn avenue,,Martinborough,Anglesey,TW9X 5JT,United Kingdom,2026-01-01,
bdb9b4cb-a90c-52fa-b317-536a7014e560,87fa71b1-aac6-536c-bf04-3d8fdc6b1282,home,5 Rachel inlet,,Stevensport,Bedfordshire,TD6H 8LJ,United Kingdom,2026-01-01,
a6f56c01-b1c7-54b5-b61c-99a704229878,47dfaa82-3c6b-5e14-9fe7-e13640a5db9b,home,481 Brandon corner,,Robertstown,West Berkshire,L1C 6EZ,United Kingdom,2026-01-01,
60bdf09c-17c8-5b44-a7d5-5eb817eb3c7a,c4e44d3e-20ae-5443-804d-353533332e60,home,447 Antony key,,Carterview,Glasgow City,WA25 7ZX,United Kingdom,2026-01-01,
d867c25f-74bc-5fa6-96a1-6ff9ccb93efb,4b1919f6-449e-5c65-879b-2252f8022b9b,home,05 Keith way,,Wilsonbury,Breconshire,UB0 9JF,United Kingdom,2026-01-01,
3bedc9d0-bee0-57dd-a4fa-fdcdcb111af0,cf2f656e-0260-56fe-9467-7514019dca3b,home,977 Pamela ranch,,Simonburgh,Lancashire,B34 0FQ,United Kingdom,2026-01-01,
69d381b3-a6d2-55d5-948e-c3843e69b967,c2fa7270-6900-5480-88ba-997f55f702cb,home,"Studio 58V
Samantha circles",,North Joshuaburgh,Hampshire,L99 2RY,United Kingdom,2026-01-01,
1a84ca89-c697-5450-969b-0236d567454c,a0517e92-fe0f-56cb-b503-c0c83c6388e1,home,"Studio 88
O'Brien ridge",,Walkerborough,Tyrone,BB7A 3XL,United Kingdom,2026-01-01,
baa569e9-fdb7-5a35-bf4a-043841bf6f97,dbf82876-f28a-5d7a-a26c-2afde512e303,home,2 Allen landing,,Kylestad,North Yorkshire,L1 0XY,United Kingdom,2026-01-01,
116d1b88-8541-5322-ae80-681e682e07a8,c131d73a-0531-5d67-b85a-8f322fb0b69a,home,"Flat 0
Smith union",,Campbellchester,North Ayrshire,E1G 5WL,United Kingdom,2026-01-01,
74efcea6-f76d-5110-8b44-7e2492833085,a4874405-be60-516b-ab41-d592efe48b91,home,"Studio 98
Hill roads",,Charltonton,Cambridgeshire,W31 2HN,United Kingdom,2026-01-01,
b3e8253b-f958-5172-b47d-ea305b933a20,b27432a5-ba16-54d0-962a-9888d43baf1e,home,"Studio 2
Ben branch",,Richardstown,Suffolk,KW8 0ZW,United Kingdom,2026-01-01,
5a5583f3-86c0-585f-a135-64bdebb63bbe,883ad074-9359-5c05-91cf-de363b036a85,home,"Flat 63g
Conor fords",,East Rosemary,Fife,SE6 4SP,United Kingdom,2026-01-01,
dfeaf10f-71a4-52b1-85eb-ba7cef532ed9,91ab2e53-2248-5260-9dad-cb2328e3749b,home,6 Hall groves,,South Shaunville,East Dunbartonshire,L78 8TH,United Kingdom,2026-01-01,
fa2dd4d0-8ba4-5924-8a55-b4db28a196d6,465ffae9-67c5-500d-95d8-fc2f4cfcee66,home,4 Sarah heights,,Port Marionside,West Yorkshire,BH13 2ZT,United Kingdom,2026-01-01,
e4079204-3bf3-5701-8f1b-13a9308358bf,8735a13c-5a9b-547f-967d-a1fc5ba4a9f6,home,"Flat 7
Henry rapid",,West Roybury,North Yorkshire,KW08 1BB,United Kingdom,2026-01-01,
3cd94249-f362-5990-9707-c51792972d20,0a07e29f-8005-553e-9ff2-137415634b78,home,9 June passage,,Jonathanmouth,East Renfrewshire,E6 6FB,United Kingdom,2026-01-01,
a336a878-4909-5203-b095-4d93ec0589c0,7a7397f0-de78-5e21-bb48-a100ece9ca0f,home,"Studio 5
Frederick well",,Briggshaven,Eilean Siar,S6T 9UG,United Kingdom,2026-01-01,
982d2a0d-deb8-5925-8df4-0c189229dde9,1ec5c14c-59f9-599a-9fc4-23008d29354a,home,6 Foster mountains,,Louisefort,City of Edinburgh,NE0M 9ZD,United Kingdom,2026-01-01,
ba851b84-51fc-54ea-a794-d4bcd0b85e63,16171277-0225-5774-8d63-abb743257d86,home,"Flat 3
Bartlett ports",,Lake Maureen,Greater Manchester,N4A 2AB,United Kingdom,2026-01-01,
74b10051-dcfd-5994-b045-39fef6747a9d,4bda4f72-11f0-5651-a079-6d71111a267d,home,"Studio 26m
Russell lodge",,Lake Terenceside,Fife,RH9 3WE,United Kingdom,2026-01-01,
4914045a-6cdb-584c-9ce2-bce039267033,a41605e3-deb1-549a-85c9-9e623ce74975,home,"Flat 18
Mitchell pine",,East Shaun,Durham,EN2V 9AU,United Kingdom,2026-01-01,
a7e419e9-7b33-5e5a-82e4-516f64adbc0e,749448bd-f9d3-50f1-bc98-1c80b2d1db58,home,306 Kemp hills,,New Denise,Glasgow City,TN32 6EH,United Kingdom,2026-01-01,
