id,first_name,last_name,email,status,can_login,date_of_birth,preferred_name,phonetic_name,pronouns,gender
0501440c-0114-5d53-bb84-3db3dea7335c,Al,Roseweir,al.roseweir@crm-seed-data.abc,active,True,1967-06-28,,,he/him,Male
0a00439f-76ff-5fae-b93c-22540659582e,Carly,James,carly.james@crm-seed-data.abc,active,True,1966-03-18,,,they/them,Non-binary
cdc701e9-8c9d-5013-a8ce-96656d840406,Hayley,Godfrey,hayley.godfrey@crm-seed-data.abc,active,True,,,,she/her,Female
06992024-2cc2-5a57-a9e6-e6adaded018e,Louise,Shepherd,louise.shepherd@crm-seed-data.abc,active,True,,,,,
9a350f2f-c1fa-51a0-bc24-7ec6a370b01b,Leanne,Briggs,leanne.briggs@crm-seed-data.abc,active,True,1954-08-26,,,,
676d2791-cc38-5d3c-971b-c03280df17da,Harry,Davies,harry.davies@crm-seed-data.abc,active,True,1957-02-05,,,,
7e273cfc-ef90-5840-b7cc-e6b4d995ea42,Ruth,Nolan,ruth.nolan@crm-seed-data.abc,active,True,1967-02-11,,,she/her,Female
41bc09ce-2a8f-5148-8050-00047e6dc98e,Rosie,Ali,rosie.ali@crm-seed-data.abc,active,True,,,,they/them,Non-binary
82215045-ac74-5993-898d-42cbfb3c6344,Abdul,Gibbons,abdul.gibbons@crm-seed-data.abc,active,True,,,,,
5c37cdb8-6b22-58b6-a889-485dc31d5c05,Henry,Collins,henry.collins@crm-seed-data.abc,active,True,,Brandon,,he/him,Male
7f024ebd-5a64-5afe-b292-4d01fd190f50,Connor,Smith,connor.smith@crm-seed-data.abc,active,True,,,,she/her,Female
9df7b8bf-351b-5e30-89a6-82005d1a179f,Leslie,Barnes,leslie.barnes@crm-seed-data.abc,active,True,1965-02-22,Roy,,,
9812d956-d5e4-5d7e-8612-28026dcd072f,Bruce,Khan,bruce.khan@crm-seed-data.abc,active,True,,,,,
85c08c7b-ff28-59f3-afb5-94373e48830e,Mandy,Welch,mandy.welch@crm-seed-data.abc,active,True,,,,,
95d21cc9-763d-51eb-9964-f9a3daa87e3b,Anna,Howells,anna.howells@crm-seed-data.abc,active,True,,,,,
8561f6b4-a461-5a0f-9bd7-cc73526e73bb,Brandon,Browne,brandon.browne@crm-seed-data.abc,active,True,1977-10-02,,,,
59cce8c2-3411-5823-bb4b-1b5c9ad186eb,Edward,Clarke,edward.clarke@crm-seed-data.abc,active,True,,,,they/them,Non-binary
87fa71b1-aac6-536c-bf04-3d8fdc6b1282,Elliott,Wilson,elliott.wilson@crm-seed-data.abc,active,True,,,,they/them,Non-binary
47dfaa82-3c6b-5e14-9fe7-e13640a5db9b,Daniel,Miller,daniel.miller@crm-seed-data.abc,active,True,,,,she/her,Female
c4e44d3e-20ae-5443-804d-353533332e60,Amy,Marshall,amy.marshall@crm-seed-data.abc,active,True,1996-05-30,,,,
0ba917eb-3677-5b87-a202-950180d75fb9,Aaron,Harrison,aaron.harrison@crm-seed-data.abc,active,True,,,,she/her,Female
